"point","longitude","sign","degree"
"Ascendant","131,806987527778","Leo","11,81"
"Midheaven","28,7909243333333","Aries","28,79"
"IC","208,790924333333","Libra","28,79"
"Descendant","311,806987527778","Aquarius","11,81"
"Vertex","270,164354333333","Capricorn","0,16"
"ARMC","26,7569810833333","Aries","26,76"
