"point","body","aspect","actual_angle","exact_angle","orb","orb_limit","is_exact"
"Galactic Center","neptune","conjunction","0,833698","0","0,833698","6","False"
"Galactic Center","pluto","sextile","62,365157","60","2,365157","6","False"
"Galactic Center","jupiter","sextile","55,858174","60","4,141826","6","False"
"Galactic Center","sun","opposition","175,447764","180","4,552236","6","False"
"North Node","saturn","square","92,04006","90","2,04006","6","False"
"North Node","venus","sextile","57,728759","60","2,271241","6","False"
"South Node","saturn","square","87,95994","90","2,04006","6","False"
"South Node","venus","trine","122,271241","120","2,271241","6","False"
