"point","longitude","sign","degree"
"Ascendant","176,354527361111","Virgo","26,35"
"Midheaven","85,6401273611111","Gemini","25,64"
"IC","265,640127361111","Sagittarius","25,64"
"Descendant","356,354527361111","Pisces","26,35"
"Vertex","350,665873805556","Pisces","20,67"
"ARMC","85,2496691388889","Gemini","25,25"
