"point","longitude","sign","degree"
"Ascendant","149.958846361111","Leo","29.96"
"Midheaven","54.35059875","Taurus","24.35"
"IC","234.35059875","Scorpio","24.35"
"Descendant","329.958846361111","Aquarius","29.96"
"Vertex","292.900744666667","Capricorn","22.9"
"ARMC","51.9822345277778","Taurus","21.98"
